customer_tweet_id,customer_message,intent,confidence,reason
917987,Why are your delivery drivers allowed to simply lie!? I've not left my house all day. And if the parcel was handed to me. Why are you telling me to check my surroundings?? Clearly drivers are stealing orders for people and we are left helpless,Delivery Delay,HIGH,Original label matches the customer's message content.
76065,Are you only going to give assurances on Twitter like your call centre team does on phone???,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
380792,"pathetic experience, for receiving the delivery, called 4 times to CC.. worst",Customer Support / Complaint,HIGH,Original label matches the customer's message content.
791059,'mention the time' Can't wait to watch it on AMAZON PRIME VIDEO tommorow ✌✌✌ #Arjunreddy,Non-actionable / Exclude,HIGH,"Excited comment about watching a show, no support issue."
837121,Just cancelled an order to change the address now it's saying out of stock no idea of restock! Can I not have my old order back?,Order Cancellation,HIGH,Original label matches the customer's message content.
726369,"Yes, it was promised by yesterday",Delivery Delay,HIGH,Original label matches the customer's message content.
51593,"Ordered a book from over a week ago. Hasn't even shipped yet, but it's supposedly arriving in a couple of hours. 🤔",Delivery Delay,HIGH,Original label matches the customer's message content.
219194,got 1 day shipping on Amazon two whole fucking days and still NOTHING im livid #amzl_us sucks,Delivery Delay,HIGH,Original label matches the customer's message content.
848210,So why is it that I pre-ordered book and now you’re saying it’s out of stock? How does that work???,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
230219,Dear Mr Tiwari Thank you so much for helping in my case regarding bank details problem is resolved thanks best RegardsMadhuBhatia,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
1142022,why offer same day shipping if you never actually deliver same day? Do you just think we won't notice?,Delivery Delay,HIGH,Original label matches the customer's message content.
835147,"m nt comparing the price wth any othr portal,the issue is.. order got cancelled and you are blaming the consumer for doing so.. 1/2",Order Cancellation,HIGH,Original label matches the customer's message content.
480351,"No I haven't. This is my 2nd attempt to buy a tv, the first time you guys have scammers and it never delivered and now i buy and stock by you and with my prime still no tv and i was offered a low $25 gift card. I want my tv and a better appeasement offer. This is frustrating",Delivery Delay,HIGH,Original label matches the customer's message content.
540874,"It been when I’ve ordered with Prime. Although, I don’t believe it’s the carrier, it’s the way the package is being filled. Is chat the best option to get this fixed for future orders?",Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
831767,"I have ordered a product with ORDER # 402-5361592-6819568. At the time of ordering estimations are 8-12 Oct. Care Execs are just feeling sorry. Please, let me know whether i need to delete my profile from Amazon. I'll never recommend amazon to anyone.",Delivery Delay,HIGH,Original label matches the customer's message content.
191510,I preordered battlefront 2 but have not received a beta code yet and the beta starts tomorrow for people who pre ordered.,Delivery Delay,HIGH,Original label matches the customer's message content.
1108772,tell me how to cancel prime subscription. Shopping experience is pathetic wiid u guys. Shud consider,Prime Membership / Benefits,HIGH,Original label matches the customer's message content.
1056772,sir i order by mistake redmi 4 bt i wanted to order note 4. can i refund that product now,Return / Refund,HIGH,Original label matches the customer's message content.
158862,what's the best email address to contact you on regarding an order please,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
127431,has really went down hill on everything how you screw up a simple order. Plus done with Prime that has went down hill too especially for #gamers,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
784363,customer care has no idea where the package is.all it does is give fake assurance to wait for 24hrs.customer care has stooped low,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
425089,"Arey, do whatever you people want to. Call CBI for investigation. I don't care. Give me my money back. When I have not got the order why is my money at stake?",Return / Refund,HIGH,Original label matches the customer's message content.
113764,I’m am truly done with your company. Your offering free shipping for orders of $25 or more and no matter what items I add you charge for shipping. That’s false advertising and bait and switch tactics.,Payment / Billing,HIGH,Original label matches the customer's message content.
918227,Are u in sync with ur Social Media Team? Coz I haven't receivd any reply after 21Oct. I also checked my Messages in Amazon app.,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
303518,"Received an email change message from thinking it was a scam, but somebody has actually changed my details 😕assistance!?",Account / Login / Security,HIGH,Original label matches the customer's message content.
1124098,Shout Out to was able to fix an order that was made by my autistic son at 2 Am yes I SPOKE TO A HUMAN thanks again Amazing,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
971038,team its more than 3 days & no resolution. Is the plan that you keep playing around here & my RETURNABLE date is over? Why so slow?,Return / Refund,HIGH,Original label matches the customer's message content.
553422,shipping logic: One-day shipping = Sunday Two-day shipping = Wednesday (Ordered on Friday with trial Prime membership),Delivery Delay,HIGH,Original label matches the customer's message content.
1048186,i ordered sandisk pendrive and they send me duplicate memory card,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
419178,Yes I have reported .they replied with the message of sorry we can't help,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
631713,"Why is comrade detective, an amazon production, not available on prime video in India?",Prime Membership / Benefits,HIGH,Original label matches the customer's message content.
336184,I’ve been a loyal Prime member for many years but the days of reliable 2 day shipping appear to be over along with personable customer service. Very disappointing. Unreliable USPS shipping needs to go and bring back USA based customer service.,Delivery Delay,HIGH,Original label matches the customer's message content.
191627,"I want a specific timeline, telling me by when the Amazon Pantry products will be delivered at my Pin Code - 121010",Order Tracking / Status,HIGH,Original label matches the customer's message content.
1109500,Okay now my account got locked out again. Again because of an order *I* placed. This is very frustrating.,Account / Login / Security,HIGH,Original label matches the customer's message content.
103067,Why is it so hard to communicate with the customer service representative? They do not don’t understand what I am saying. Is there a language barrier here? I never had such horrible customer service in my life!,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
510257,Amazon Prime delivery have reached a new low today. Advent calendar that was all day due to be delivered before 8pm suddenly becomes a cancelled order. Obviously the delivery driver had forgotten advent calendars for his kids and helped himself. #badservice,Order Cancellation,HIGH,Original label matches the customer's message content.
544336,Hey is this what you call a fast and efficient delivery service?,Delivery Delay,HIGH,Original label matches the customer's message content.
164978,Whyyyyyyy? I just want my stuff.,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
574012,I ordered a charging cable by mistake. Now it was delivered but I want to exchange it with a different type of cable but I cannot. It says I can only exchange it with a exact similar type only. Please help me out.,Return / Refund,HIGH,Original label matches the customer's message content.
176371,It was ordered from,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
317420,I already have done. Twice. Thanks.,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
780878,But tell me - does that change anything? I still don't get product for paid same day delivery. That's the final result,Delivery Delay,HIGH,Original label matches the customer's message content.
134908,Hey can we have the walking dead and big bang theory on Amazon prime? Please bring them on ..,Prime Membership / Benefits,HIGH,Original label matches the customer's message content.
611094,"The package has been shipped and the estimated date is also revealed. Please do process swiftly, I want it by 27th November... Please.. Request",Order Tracking / Status,HIGH,Original label matches the customer's message content.
1100619,Accidentally signed up for an amazon prime membership and didn’t realize it until I got the $50 bill in the mail so now it’s my goal to watch every single movie they offer 🙃🙃🙃🙃🙃🙃,Payment / Billing,HIGH,Original label matches the customer's message content.
1089816,Can you send me another invite for the echo so I can order the plus seperately?,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
179415,You have not replied for J7 prime,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
802383,Thnx.This product had been delivered to someone at my place.That was just to see and warn abt the flaws that the logistics have. It's done.,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
150584,"Order placed yesterday w/ 2 day shipping (Prime) listed by you as ariving on-time on Monday, Nov 27th, but on (tracking) as Nov 28th. Please remind them that a delivery date isn't merely a suggestion",Delivery Delay,HIGH,Original label matches the customer's message content.
103094,"Curious, how is a week shipping now 'Prime?' We have been noticing the term 'prime shipping' being used more and more loosely where 5-7 days is becoming too common.",Prime Membership / Benefits,HIGH,Original label matches the customer's message content.
889404,"My Account is now BLANK, even says I don't have prime, and have never placed an order. WHY?",Account / Login / Security,HIGH,Original label matches the customer's message content.
790599,Any reason why this is now being delivered Monday ? I ordered this edition to get it four days early!,Delivery Delay,HIGH,Original label matches the customer's message content.
320870,More like a range of days. What’s worse is the image now showing IS NOT what I ordered. Some random image pops up now as pictured.,Product / App / Website Issue,MEDIUM,Complains a wrong image is shown on the order/product page.
853961,"Hi, I don't need to enter my CVC everytime I order, does this mean you store my CVC number, is that PCI compliant?",Account / Login / Security,HIGH,Original label matches the customer's message content.
231341,is there any way I can find out when a delayed 'prime' order will actually be delivered? It's getting a bit ridiculous now!,Delivery Delay,MEDIUM,"Main point is that the order is late, not just a status check."
586919,Idiocy by Your staff only delivered its competing product on Friday. I haven't even taken the first tablet for God's sake,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
957565,"Sent my reply,refund my money asap.",Return / Refund,HIGH,Original label matches the customer's message content.
530792,Finally we received delivery last night - ironically shortly after tweeting. So at least my son got a gift before going to bed on his birthday. Very disappointing experience - Amazon you made us feel you were too big to care. #toobigtocare,Delivery Delay,HIGH,Original label matches the customer's message content.
951992,does such a good job trying to keep customers happy. Shipment coming in late and they made it right. Thanks “Anita S” very prompt!,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
253973,How's this possible? Almost ₹17k #offer from the original price. how can u do tis but can't?🤔 #Flipkart #Amazon #lg,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
648430,Why exactly am I spending money on prime when I don’t even get my stuff within the 2 day shipping period? #Cancelling,Delivery Delay,HIGH,Original label matches the customer's message content.
1124081,Any chance you know where my parcel is? Email says it was delivered; no missed delivery card and no parcel,Delivered but Not Received,HIGH,Original label matches the customer's message content.
926317,"Either Couriers fake delivery by signing as customer to avoid fines and deadlines, or someone stole my package at random address.",Delivered but Not Received,HIGH,Original label matches the customer's message content.
296420,I ordered a product and the wrong thing came in. I messaged the seller and they requested photos. Now they disappear?! What do I do?,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
205043,"With all this package theft going on nowadays, I don't understand why it's so difficult for UPS & Amazon drivers to ring the doorbell.",Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
74672,I have sent an email. I hope this is resolved asap!,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
83417,Till date no any resolution for my query.....it was my last mistake to made transaction through your wallet.....it would be never happen again.shame of your organisation that you can't clear a query in this huge time. #beware from #Amazonpay #amazon india #worst #service,Payment / Billing,HIGH,Original label matches the customer's message content.
666150,That's the thing it didn't present one they wouldn't end it to give me an opportunity. The reason I contacted you all was because I ordered and it said garunteed delivery today chatted a rep yesterday when it said otherwise and she said she fixed it that was a lie obviously,Delivery Delay,HIGH,Original label matches the customer's message content.
606232,"Can't believe I've actually managed to get tickets which were brought at 10.02, thanks 👏🏻💪🏻",Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
594536,Already asked your team what’s happened to my order nobody bothered to answer,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
299616,i have shared the details but no one has contacted me yet. If you not able to contact me in next one hour there is no reason to contact me.,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
304607,was expecting Prime Music or something better. Got saavn which is the worst. It has 99% hindi songs!!,Prime Membership / Benefits,HIGH,Original label matches the customer's message content.
63853,Just get your delivery team to try attracting customers attention by door bell or knocking. I was in. Package found behind a bin. Only found as it was bin day here! Had it been raining the items would have been soaked.,Delivery Delay,HIGH,Original label matches the customer's message content.
223892,I’m sure I’m not the only one that thinks that. Thanks for your help!! God bless,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
813269,"One of your delivery drivers just opened my door, walked up my stairs and presented me with an amazon parcel 2/2",Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
1107315,Recd it just now. But there could have been way better communication about delivery.,Delivery Delay,HIGH,Original label matches the customer's message content.
563943,"My 2 day shipping is now delayed even further. Supposed to arrive Friday, Dec. 1. Still at my local post office apparently. Tracking says package forwarded to new address per customer request. I DID NOT REQUEST AN ADDRESS FORWARDING.",Delivery Delay,HIGH,Original label matches the customer's message content.
135006,My details are already shared with for more please check order no which is share in my query,Order Tracking / Status,HIGH,Original label matches the customer's message content.
375263,Please make sure my shipment will be delivered today as I am not in town from tomorrow. Tracking no.447196094053 #nokia6,Order Tracking / Status,HIGH,Original label matches the customer's message content.
927508,"Now what you guys me to write in email? I am waiting for my product for which i have paid earlier, isn't that enough?",Delivery Delay,HIGH,Original label matches the customer's message content.
230189,I hadn't had a reply by the time I thought to try that at 1500 and then had an email at 1530 saying it had been dispatched. I'll return one.,Return / Refund,HIGH,Original label matches the customer's message content.
1079445,The carrier says AMZL US tracking number is TBA486991823000 it says our for delivery,Order Tracking / Status,HIGH,Original label matches the customer's message content.
996703,That's not what I was told,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
913806,Well thats not helpful. So i will end up with no present and embarressment for not giving one. Because amazon messed up. Bad service!,Delivery Delay,HIGH,Original label matches the customer's message content.
71882,"Too long to write but when I called it was more of a friendly inquiry and when I hung up I was downright confused, angered and don't know if or when my order will arrive at this point. Horrible call.",Customer Support / Complaint,HIGH,Original label matches the customer's message content.
914212,can someone explain to me what the hell is going on with my order,Order Tracking / Status,HIGH,Original label matches the customer's message content.
292860,Next day delivery? Bah! Still waiting for my records Been looking forward to those all day...,Delivery Delay,HIGH,Original label matches the customer's message content.
27901,I understand shipping to Puerto Rico is now behind but orders not shipping after 2/3 weeks? Expedition taking weeks...,Delivery Delay,HIGH,Original label matches the customer's message content.
274474,"They are getting fraud with each other, I purchased a Mobile and its delivered on last day in the evening i complaint against the same in",Delivery Delay,HIGH,Original label matches the customer's message content.
910602,why i should arrange for shipping for the defective product given by u .plz repalace my induction order id 171-7505227-9818740,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
975014,Amazon india cheated me. Now they blocked my number to call. This is ridiculous. It is never expected from amazon. Pls support,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
144009,nope...please explain me here i want 100% transparency.....i want people know how you block my mobile no. and cod facillity just because i have pointed mistake in your system,Account / Login / Security,HIGH,Original label matches the customer's message content.
439635,Can't log into my account on app/desktop/mobile sites. Need verification email. Tried lots of times. No email has arrived!,Account / Login / Security,HIGH,Original label matches the customer's message content.
316330,why dont you send the invoice through email. I dont have invoice for my recent purchase,Payment / Billing,HIGH,Original label matches the customer's message content.
812374,Amazon told me my items are coming on Monday which I was happy with. Amazon app just sent me a notification that everything is coming today instead. I swear it’s the small things that really make your day. I love you 😭😭😭,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
339921,"just set up a Household account. It’s showing logged in to one account, but details and Prime status of the other account",Account / Login / Security,HIGH,Original label matches the customer's message content.
136958,"Yes we have, 3 times, can I have a Service customer phone # to call? Or what should we do next?",Customer Support / Complaint,HIGH,Original label matches the customer's message content.
678257,I ordered a PlayStation VR Starter Pack a week ago and you still 'need a little more time to provide' me with a delivery estimate. Any idea what the problem is?,Delivery Delay,HIGH,Original label matches the customer's message content.
1105593,the cookbook I ordered got all banged up! Probably due to being shipped in a box 4 times too big,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
315746,"that’s too bad, thanks!",Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
665228,I've done that. Thanks. Want to get this issue solved ASAP.,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
848246,...been able to prove I had not had the parcel. Yodel has delivered it. I am awaiting another parcel and scared of this happening again.,Delivered but Not Received,HIGH,Original label matches the customer's message content.
388496,Your are working last 12 days . How much time u want. This is not a murder case is simple your seller sold me used laptop.,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
820093,i am very happy with amazon customer service.Amazon is lub😍❤.Best service i have seen in marketing sites.,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
457716,I'm incredibly dissapointed for the first time with amazon for the first time in a while. i demand to speak with an actual person about this as twitter does not have enough characters for me to explain properly,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
224223,Ya received but why it got cancel? I got the Diwali discount and then it got its cost is higher if i want to buy.,Order Cancellation,HIGH,Original label matches the customer's message content.
1114981,Just had a chat with your support person and the justification was inappropriate. It's not the solution which I am looking for.,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
849715,The issue is resolved. Thanks.,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
714703,The shipping option I selected at checkout was for the two day prime shipping I pay $$ for every year.,Delivery Delay,HIGH,Original label matches the customer's message content.
654324,Why is echo dot not delivered to Luxembourg even for prime members.... Little disappointing,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
868586,Still there is no update on my order. I want to claim whole money which i had paid.,Return / Refund,HIGH,Original label matches the customer's message content.
502509,Game was supposed to release yesterday(Friday). Since I pre ordered I was expecting amazon to ship it early (Thursday). It’s 10am on Saturday,Delivery Delay,HIGH,Original label matches the customer's message content.
403516,why do I have to pay for an app for each device when they are all registered to me and using the same email address???,Payment / Billing,HIGH,Original label matches the customer's message content.
418821,ordered phone from amazon and as per status it delivered yesterday but i am still searching where my brand new phone gone,Delivered but Not Received,HIGH,Original label matches the customer's message content.
1149788,order 4__credit_card__ done payment by amazon pay..when i will get cashback??,Payment / Billing,HIGH,Original label matches the customer's message content.
678278,Can you order puppies on ?,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
77634,i ordered Boya BY M1 microphones & paid online threw my amazon pay balance & at the time of taking delivery it looked tempered as you can see worst! experience with you never buy anything from amazon this is second time i ordered it but still got nothing poor service,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
917046,"Hi, there. Currently I pay ""Amazon Prime"" service. But, I never use them after i applied that service. Can I get my money back?",Return / Refund,HIGH,Original label matches the customer's message content.
629533,I send the details at link provided by you. NOW Tell me the policy . If u delay in delivery to a prime member then how can u compensate for such inconvenience. First tell me how u compensate me if u delay my order as I m prime member .,Delivery Delay,HIGH,Original label matches the customer's message content.
1028216,Your customer support is useless.,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
166487,Used Amazon chat to resolve what appeared to be a duplicate charge on two different credit cards for my Prime membership. Just wanted a refund or explanation. Result? Had my Prime membership cancelled. WTH? Why?,Return / Refund,MEDIUM,Customer wants money back after cancelling Prime.
597913,Useless customer support. Following-up for more than a month on a issue with CB. These guys are not ready to give even the transcript ID to further escalate. Registered mail - __email__; ORDER #P04-2061228-6778876,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
1043187,"Order#: 407-8999364-9801959,need to know when technician is coming. the slot alloted to me,is over. have no number to call either",Order Tracking / Status,HIGH,Original label matches the customer's message content.
276470,"HELP!! Hello, my amazon has been hacked.. I received an email change email and now I cannot access my account 😩",Account / Login / Security,HIGH,Original label matches the customer's message content.
11081,"At time of order, del date was 10/29. Carrier is AMZL US.",Order Tracking / Status,HIGH,Original label matches the customer's message content.
129656,please help me,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
43687,what’s the chances of getting my package (same day delivery) by 9 when it hasn’t even been shipped? 😞 🤷🏼‍♀️,Delivery Delay,HIGH,Original label matches the customer's message content.
96761,"I've gotta say, I have been less than impressed with Amazon Prime when it comes to shipping. So far, I have had about 50% of my orders NOT arrive as advertised. Not sure if it's an Amazon issue or a USPS issue. (Considering I never see the same postal carrier twice.) 😟",Delivery Delay,HIGH,Original label matches the customer's message content.
1135161,"Urgent! ORDER # 403-5790499-7681139. I live out of India, my SPOC 4 delivery leaves India on 28th. Need to get it by 27th, PLZ",Order Tracking / Status,HIGH,Original label matches the customer's message content.
138924,This is a joke!!! Still not heard anything! NEVER had customer service as bad as this! #sortitout,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
626788,"Yes, also a return request done. I want other people to know how bad your service is. Now get me my refund quickly and I would be thankful.",Return / Refund,HIGH,Original label matches the customer's message content.
420268,received the material on time thanks for that,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
929671,"This one is laser ship, the two previous were AMZL. I’m not looking for anything, other then to express frustration about it.",Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
381389,Nobody showed up for the pickup and plus seller support people dont have any idea about the reason,Return / Refund,HIGH,Original label matches the customer's message content.
317244,i ordered a strontium 64 GB memory card and you delivered me transcend pen drive what's this happening,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
884877,Highly upset with right now. I counted on you for two day shipping and you have let me down!,Delivery Delay,HIGH,Original label matches the customer's message content.
69902,"It’s not there. Should i send you the screenshot via DM? Also, can you guys call & resolve? Thanks!",Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
684815,"It would be super if would get delivery people who can read. It’s so frustrating to have packages delivered a street over!!! It’s not hard, and our street names look nothing alike!!!",Delivery Delay,HIGH,Original label matches the customer's message content.
280596,"Oh look, ANOTHER Same Day Shipping order that and it's ""Logistics"" shipping failed to deliver on time, that's 6 this year...",Delivery Delay,HIGH,Original label matches the customer's message content.
641762,Last month I ordered a wifi extender & paid $15 for next day delivery. It arrived 24 hr after. I was promised a refund. W/is it?,Return / Refund,HIGH,Original label matches the customer's message content.
1031709,your customer services have given me incorrect information 4 times now... great 👍🏻 is there anyone who’s not a pathological liar?,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
103086,Amazon Selling Fake / Copy product of in India # Amazon is not replacing to original product#Since All Bose Products they have is fake scam in India,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
563941,hey! Wondered if you can help? Want to find out which courier was used for a recent order? Thankyou,Order Tracking / Status,HIGH,Original label matches the customer's message content.
78745,They said the item was out of stock as of yesterday. However I have a shipping notification from you from November 20 that my order shipped,Order Tracking / Status,HIGH,Original label matches the customer's message content.
735334,Spoke to the representative on chat. I have communicated my issue. Thanks for quick response.,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
701374,unhappy with delivery drivers leaving packages on doorstep in full view of passers-by. Easily stolen.,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
56937,Is there any way i can get a refund ? Because i really meed this on release .,Return / Refund,HIGH,Original label matches the customer's message content.
1123680,Hello Amazon I won a contest pls see the pic below and wd like to DM my contact Details,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
524241,Sir im requesting you to get it delivered asap if u can’t please let me know i have to buy from local market:(,Delivery Delay,HIGH,Original label matches the customer's message content.
300039,Size 3 is not a size even in the chart. It's for small children! I want size number 7,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
21518,I've contacted my bank as you asked to do so in email but my bank said Amazon need to raise complain,Payment / Billing,HIGH,Original label matches the customer's message content.
206002,I don’t even think anyone read my email because this reply doesn’t address a single thing I said,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
498385,"package was supposed to be delivered 3 days ago, now just sitting in a warehouse in gainesville for some reason. what's the point of having prime if 2-day shipping turns into 4-day-and-counting shipping. SMH",Delivery Delay,HIGH,Original label matches the customer's message content.
476870,Thanks I submitted the case there. I hope you find out what went wrong coz I have made other orders too and now I am skeptical they will ever make it,Delivery Delay,HIGH,Original label matches the customer's message content.
38838,"3rd order, 3rd delay email. Perhaps y'all aren't ready for this zip code yet? Trying free month, def not going to pay for this.",Delivery Delay,HIGH,Original label matches the customer's message content.
325833,Is there a way I can contact you using my email and not the email on my prime account?,Account / Login / Security,HIGH,Original label matches the customer's message content.
485210,"Everything I look at, even Amazon products like fire tv, are saying it will be here in a week when two day shipping. That's 7 day shipping. I ordered something I need yesterday expecting it yesterday and it's not going to be here until next Thursday. How is that two days?",Delivery Delay,HIGH,Original label matches the customer's message content.
1026196,Can Amazon Echo’s be networked with Echo Dots?,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
1143413,Should I be more upset with or . Seems like more Amazon ships prime orders with the USPS the longer they take to get,Delivery Delay,HIGH,Original label matches the customer's message content.
571816,"Unable to make payment, as I get following error on every retry. Could you please check? Customer care folks are not able to understand. Order # 406-1363621-4941920",Payment / Billing,HIGH,Original label matches the customer's message content.
588756,Have just sent email but standard customer service response. What happened to the old fashion way of speaking g to someone #soupset,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
332431,Wow ... excessive packaging! 😂😂😂,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
566618,why is it taking so long to answer my messages on DM? getting frustrated and would just like help regarding my issue i’m having with an order cancellation/refund.,Return / Refund,HIGH,Original label matches the customer's message content.
627853,This is the email I received. Is it genuine?,Account / Login / Security,HIGH,Original label matches the customer's message content.
182949,"Already filled,do you want me to do the same again",Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
960699,I ordered an item online & I received an email saying my item was lost.,Delivery Delay,HIGH,Original label matches the customer's message content.
837888,worst part from amazon... ordered something... they delivered some thing...,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
1091299,I have been trying to get my account resolved for THREE DAYS? You call that good service for a loyal 7 year customer?,Account / Login / Security,HIGH,Original label matches the customer's message content.
279407,"I have done multiple time . You owe me my money, you closed my amazon account. How can you say you wil not refund my money",Return / Refund,HIGH,Original label matches the customer's message content.
334455,"thanks for charging me £7.99 for prime, which I never have, or would sign up for!",Payment / Billing,HIGH,Original label matches the customer's message content.
966793,thanks for stealing my money i did two day shipping now i have wait 3 more days thanks for nothing how hard is it to ship a CD,Delivery Delay,HIGH,Original label matches the customer's message content.
274078,Customer service keeps getting worse. Product condition because of poor packaging getting worse. No company can absorb lack of care.,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
281656,I used call back earlier on this morning and the issue was resolved but I was just wondering if callback was free thanks for your help,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
490579,"It is Colis prive who is delivering the package, before it said before 8pm but got an email saying sorry it’s tomorrow, that’s not good enough I’m afraid",Delivery Delay,HIGH,Original label matches the customer's message content.
445455,"As long as keeps up the great customer service, I will keep sending them $$$. Thanks",Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
676880,didn’t realize “want it by Wed” 2-day shipping meant will ship in 2 days on Wed. Really needed one item tomorrow. Very much a let down,Delivery Delay,HIGH,Original label matches the customer's message content.
