customer_tweet_id,customer_message,cluster,candidate_intent,notes,corrected_intent,change_reason,status
274761,"you have cheated me. guys never trust this brand. haven't delevered the product and saying your product is delivered. Investigation tram, delevery boy are your u making me fool.",0,Delivered but Not Received,System/driver claims delivered but customer says product was never actually delivered.,Delivered but Not Received,,KEEP
513460,That it was dispatched and attempted to be delivered at 5pm. But my mum was downstairs the entire time and I was upstairs the entire time. We heard nothing and there was no note.,0,Delivered but Not Received,"Courier logged an attempted delivery, but both people who were home heard/saw nothing and no note was left.",Delivery Delay,No tracking claim of delivered; failed/attempted delivery -> Delivery Delay,CHANGED
351141,Ordered a product on 24th Sept & gonna get delivered on 11th Oct I want it any how by 10th Oct. Ask the seller to deliver asap.,0,Delivery Delay,Estimated delivery date (11th) is later than customer wants (10th); asking seller to expedite.,Delivery Delay,,KEEP
885486,"One of your teams told me to change my address to get delivered to, and lied in email telling me it would be here today. It's not.",0,Delivery Delay,Was told address change would get it delivered today via email; it was not delivered as promised.,Delivery Delay,,KEEP
682483,"The orders are continuously being marked as delivered without actual delivery. Several complaints, no result #Pathetic #Unreliable",0,Delivered but Not Received,"Orders repeatedly marked delivered without actual delivery happening, per customer's repeated complaints.",Delivered but Not Received,,KEEP
1123583,Pathetic delivery service of Amazon in Pune....Order reached warehouse on Oct 11 and still not delivered till now....,0,Delivery Delay,Package reached the local warehouse days ago but still hasn't been delivered.,Delivery Delay,,KEEP
348033,I order an item to be delivered on Friday delivery then says rescheduled at customer request which I didn’t then called amazon who said,0,Delivery Delay,"Delivery was rescheduled without the customer's request, delaying the order.",Delivery Delay,,KEEP
531620,The order was paid and the delivered option is showing signed by me this is offence of the privacy by your side,0,Delivered but Not Received,"System shows 'delivered, signed by me' but customer disputes this, implying they never actually received it.",Delivered but Not Received,,KEEP
200031,Need help with my amazon fire stick.,1,Non-actionable / Exclude,Generic help request about a Fire Stick with no specific problem described.,Non-actionable / Exclude,,KEEP
1114339,"hi, need help regarding exchange offers. Kindly contact ASAP.",1,Non-actionable / Exclude,Vague request for help with 'exchange offers'; no concrete issue stated to classify.,Non-actionable / Exclude,,KEEP
331368,Wow I am unable to find option for my problem..can't you guys help? Or any contact number..I m in US and m recieving waves of messages,1,Non-actionable / Exclude,Customer says they can't find the right help option but doesn't state the actual problem.,Non-actionable / Exclude,,KEEP
299994,Need support on the stat! Help me get rid of my phone kappa.,1,Non-actionable / Exclude,Message is unclear/garbled; no identifiable support intent.,Non-actionable / Exclude,,KEEP
287854,"408-6016305-4794733 This is the order number. You track the history. If you can help, help me else I will take the loss and goodbye Amazon",1,Order Tracking / Status,Customer gives an order number and asks Amazon to check/track its history.,Order Tracking / Status,,KEEP
329187,After so many conversation again you are failed to help me. stop this type of activities and don't make fool again n again..Big Big Shame on Amazon.in,1,Customer Support / Complaint,"Complains that support has repeatedly failed to help, without naming a specific underlying order issue.",Customer Support / Complaint,,KEEP
351837,the packaging of Philips qt4011 trimmer is different.is this the original product or duplicate?.pls help.,1,Wrong / Damaged / Defective Item,Suspects the trimmer received is a duplicate/fake due to different packaging.,Wrong / Damaged / Defective Item,,KEEP
1057341,ordered a book on the website. Not yet delivered and seller not responding. Please help,1,Delivery Delay,Book has not been delivered and the seller isn't responding to follow-ups about it.,Delivery Delay,,KEEP
815597,Support reps could not understand my problem and gave me unrelated advice. :/ Please help!,1,Customer Support / Complaint,Support reps misunderstood the issue and gave unrelated/irrelevant advice.,Customer Support / Complaint,,KEEP
1071139,help! Need to cancel a music order but don't see how,1,Order Cancellation,Wants to cancel a music order and can't find how to do so.,Order Cancellation,,KEEP
367929,. . I want return this product help me asap 9555280010,1,Return / Refund,Directly asks for help returning a product.,Return / Refund,,KEEP
1041263,"hi, I'm having trouble logging into my account. Could you help please?",1,Account / Login / Security,Having trouble logging into their account.,Account / Login / Security,,KEEP
1035091,I already spoke to customer support team. No help. Same old template answers & reactive responses. Not addressing lost opportunity.,1,Customer Support / Complaint,Support gave repetitive template answers and didn't address the underlying issue.,Customer Support / Complaint,,KEEP
1073290,how can I call to file a claim? I bought from a seller I think is fake. OMG!!! I do not see file claim link on order. HELP ME!!!,1,Wrong / Damaged / Defective Item,Suspects item was bought from a fake seller and wants to file a claim.,Wrong / Damaged / Defective Item,,KEEP
726353,What happened to your logistics prowess? There have been MULTIPLE screw ups in 1 order and your help team is incompetent.,1,Customer Support / Complaint,General complaint that the help/support team is incompetent after unspecified 'screw ups'; no single clear underlying issue named.,Customer Support / Complaint,,KEEP
930159,"Are you able to provide invoices to purchases that appear on a credit card statement? I only have the purchase date, amount and credit card number. Please help!!!",1,Payment / Billing,Asking whether Amazon can provide invoices matching credit card statement purchases.,Payment / Billing,,KEEP
83504,"contacted you yesterday about this, and today over live chat. No one can tell me if there is a shipping delay or what is going on with my Xenoblade 2 preorder. Ordered on 9/29. Any help?",1,Delivery Delay,"Following up across multiple channels on whether a preorder shipment is delayed, with no answer given.",Delivery Delay,,KEEP
742398,"Can u tell me how to replace, what should i do for replacement, any link for replacement complaint. Help plzz",1,Wrong / Damaged / Defective Item,"Asking how to get a replacement/file a replacement complaint, implying a faulty item.",Wrong / Damaged / Defective Item,,KEEP
547928,"what is going on? I've emailed the community help for 3 solid weeks about an issue with no answer! Not even a ""we got the email"". Nothing! #whatcustomerservice #frustrated",1,Customer Support / Complaint,"Emailed community help repeatedly over weeks with zero response, not even an acknowledgment.",Customer Support / Complaint,,KEEP
239746,I shared a sceenshot of mail chain ..which tells that i dint get any reply since 10 days.. ppl r seeing herevhow pathetic amazon help is. !,1,Customer Support / Complaint,"Shared proof of a 10-day-old unanswered email chain, calling the help process pathetic.",Customer Support / Complaint,,KEEP
936122,Why don’t you have all the color options? 🤔,2,Non-actionable / Exclude,General question about product color-option availability; not a clear support case in the taxonomy.,Non-actionable / Exclude,,KEEP
56835,4 days since form filled! no updates since then. Shows how much you guys are concerned! Y waste our time by filling dse forms then?,2,Non-actionable / Exclude,References a 'form' filled 4 days ago with no context on what form or issue this concerns.,Customer Support / Complaint,Concrete complaint about no updates after form submission,CHANGED
226406,Chat function was not available. I sent an email using the mailing facility on the link in your previous message.,2,Product / App / Website Issue,"Chat support feature was unavailable, so customer had to use email instead.",Product / App / Website Issue,,KEEP
133767,still waiting for a refund...,2,Return / Refund,Still waiting on a refund.,Return / Refund,,KEEP
1121265,No reason given. Carrier is USPS. I got my normal mail today.,2,Non-actionable / Exclude,Fragment referencing 'no reason given' and USPS mail with insufficient context to classify.,Non-actionable / Exclude,,KEEP
27826,I’ve found a parcel at my door that’s not mine.Googled address and it’s not recognised. How do I return it ?,2,Return / Refund,Received someone else's parcel at their door and is asking how to return/send it back.,Return / Refund,,KEEP
153719,Like this safe place? 😡,2,Non-actionable / Exclude,One-line reactive comment with no standalone context on the actual issue.,Non-actionable / Exclude,,KEEP
47947,how could u do this to me,2,Non-actionable / Exclude,Vague expression of frustration with no identifiable issue.,Non-actionable / Exclude,,KEEP
101206,"I'm honestly not sure. I wasn't necessarily expecting it the same day, but I did think it would arrive the same week, or at the very least the same month!",2,Delivery Delay,"Expected item within the week/month but it hasn't arrived, expressing delivery-timing frustration.",Delivery Delay,,KEEP
300045,Please check the root of this chain you'll find it easily,2,Non-actionable / Exclude,"Instructs to check a message chain, giving no substantive issue itself.",Non-actionable / Exclude,,KEEP
1004617,I have instigated a chat as the only option it gave was to call a US number!,2,Product / App / Website Issue,Chat option only offered a phone number to call instead of functioning as chat support.,Product / App / Website Issue,,KEEP
24951,I have added my email address with the account kindly get back with the resolution,2,Account / Login / Security,Added an email address to the account and is asking for follow-up/resolution on the account.,Account / Login / Security,,KEEP
274802,"And to top it off, one of the items, my 14year old son saved up his allowance and I had to tell him 3 times that it won't arrive in time. That is just crap.",2,Delivery Delay,An item (saved for by customer's son) was repeatedly promised but did not arrive in time.,Delivery Delay,,KEEP
597943,"yup. That's what we tried. On the receiving end they see this, when they are logged in",2,Non-actionable / Exclude,Reply fragment referencing an unspecified issue visible when 'logged in'; not enough context.,Non-actionable / Exclude,,KEEP
277092,Instead of typing above MSG you should have contacted me if you r really concerned isn't it,2,Customer Support / Complaint,Complains that Amazon should have proactively contacted them instead of just messaging.,Customer Support / Complaint,,KEEP
771378,u are #1 but not in this instance. I needed this hat now. Plz DM me to fix #CustomerService #business #travel,2,Delivery Delay,Needed an item ('hat') urgently and it hasn't arrived; asking for a fix.,Delivery Delay,,KEEP
558493,"Oh boy, my serger arrived at my mom's house like this... Wtf ? With all the theft of packages that happens you ship a $200 serger without a box?",2,Wrong / Damaged / Defective Item,"Expensive item arrived without a protective box, implying damage risk/poor condition on arrival.",Wrong / Damaged / Defective Item,,KEEP
1097670,Yes! 3 times I’ve uninstalled. And yes im receiving an error message,2,Product / App / Website Issue,Reinstalling the app repeatedly but still getting an error message.,Product / App / Website Issue,,KEEP
566693,My package was due yesterday and now it’s two days late 🙄🙄,2,Delivery Delay,Package due yesterday is now two days late.,Delivery Delay,,KEEP
813226,"hey !! Episode 3-6 is showing not available , come on man. ! #LaakhonMeinEk",2,Product / App / Website Issue,Streaming episodes showing as unavailable on the platform.,Product / App / Website Issue,,KEEP
693879,Thanks for letting me know.😍😍😘 Amazon,3,Non-actionable / Exclude,Simple thank-you acknowledgment with no issue described.,Non-actionable / Exclude,,KEEP
246347,"It's working, thanks!",3,Non-actionable / Exclude,Confirms something is now working; thank-you with no open issue.,Non-actionable / Exclude,,KEEP
230858,"Okay, thanks for your help 👍🏻",3,Non-actionable / Exclude,Thank-you acknowledgment after receiving help.,Non-actionable / Exclude,,KEEP
702995,Thanks! I know they're not from Amazon 🤖,3,Non-actionable / Exclude,"Thank-you acknowledgment, no actionable request.",Non-actionable / Exclude,,KEEP
805571,Not camaflouged but complimentary hence unexpected and almost went unnoticed. Thanks again. :),3,Non-actionable / Exclude,Thank-you note about an unexpected complimentary item; no issue to resolve.,Non-actionable / Exclude,,KEEP
558461,what happened to Lucifer? Seems stuck on episode 8 of current season? Thanks,3,Product / App / Website Issue,Streaming show appears stuck on an episode and not progressing.,Product / App / Website Issue,,KEEP
315275,thanks my query has been resolved.. 😀 Look forward to shop more,3,Non-actionable / Exclude,Confirms query resolved; thank-you with no further issue.,Non-actionable / Exclude,,KEEP
535162,"Thanks submitted the feedback, please make sure I get a properly sealed replacement.",3,Wrong / Damaged / Defective Item,"Feedback submitted about needing a properly sealed replacement, implying prior item wasn't sealed/damaged.",Wrong / Damaged / Defective Item,,KEEP
191698,Thanks for nothing you advertise beta codes so I preorder then u don’t deliver so u cancel. Guess I’ll skip,3,Order Cancellation,"Preordered item using an advertised beta code, but Amazon didn't deliver and cancelled the order instead.",Order Cancellation,,KEEP
782701,Hey thanks for the link. Couple of agents were not able to fix the issue. They have asked for further 24-48hrs,3,Customer Support / Complaint,Agents were unable to fix the (unspecified) issue and pushed resolution out another 24-48 hours.,Customer Support / Complaint,,KEEP
257132,can you look into this please? Ordered in May and still not here! Thanks.,3,Delivery Delay,Ordered in May and still hasn't arrived months later.,Delivery Delay,,KEEP
687882,"Hello, do you deliver to Lubumbashi - Drc. Thanks",3,Non-actionable / Exclude,General question about whether Amazon delivers to a specific international location; not a personal order issue.,Non-actionable / Exclude,,KEEP
437319,All done. Thanks.,3,Non-actionable / Exclude,Simple acknowledgment that everything is done.,Non-actionable / Exclude,,KEEP
449965,"Thanks. I got that far but none of the ""What can we help you with?"" options seemed applicable.",3,Product / App / Website Issue,None of the app/website's 'What can we help you with?' options applied to their situation.,Product / App / Website Issue,,KEEP
531692,I'm a Prime customer & ordered immediately a book promoted by you as having dropped to $1.99 only to be charged its full price. Confused. Thanks for help!,3,Payment / Billing,Was promoted a discounted price but got charged the full price instead.,Payment / Billing,,KEEP
810793,"Greetings sir, Had written to you regarding my worst exp of my order got a reply from ur side, thanks, I really appreciate (1/2)",3,Non-actionable / Exclude,Vague reference to a 'worst experience' with no specifics on what the underlying issue was.,Non-actionable / Exclude,,KEEP
726329,Thanks for the speedy help! All fixed and replacement ordered! Phew! 💕,3,Non-actionable / Exclude,Thanks for help; issue already fixed and replacement already ordered.,Non-actionable / Exclude,,KEEP
1152724,That worked. Thanks!,3,Non-actionable / Exclude,"Short confirmation that a fix worked, with thanks.",Non-actionable / Exclude,,KEEP
678256,"Thanks. When I follow the link to the item from my order, it says I could have it by the weekend if I ordered today.",3,Order Tracking / Status,Confused about the delivery estimate shown when following the order link.,Order Tracking / Status,,KEEP
729529,When is S3 of Fear:TWD coming? Don't have BT tv or willingness to go to dodgy websites to watch :) Thanks,3,Product / App / Website Issue,Asking when a show season will be available to stream on the platform.,Product / App / Website Issue,,KEEP
575414,"When you pay for prime with 2 day shipping, and it's been 4 days and you still have no package and no date on when you'll even get it. No worries, not like it's the Christmas season or anything!!",4,Delivery Delay,"Paid for Prime 2-day shipping but package is 4 days late with no delivery date; per taxonomy, late Prime delivery defaults to Delivery Delay.",Delivery Delay,,KEEP
833617,I've worked out what's happening. I have my amazon account tied to another under Prime Household. I can't download but the other can - why?,4,Prime Membership / Benefits,"Issue with Prime Household sharing preventing them from downloading content, a Prime benefit/membership feature problem.",Prime Membership / Benefits,,KEEP
197844,"Me being a prime member, why is there a delay #AmazonIndia #lenovoz2plus #problems #hardware",4,Delivery Delay,Prime member experiencing a delivery delay; taxonomy defaults late Prime delivery to Delivery Delay.,Delivery Delay,,KEEP
833600,my moms amazon prime account charged my bank account. i am not happy about this.,4,Prime Membership / Benefits,Unexpected charge specifically tied to a Prime membership account.,Payment / Billing,"Main issue is the unexpected charge, not membership",CHANGED
1097705,Correction... I won’t get it until Monday.. why advertise as a prime item if I can’t get it in 2 days??,4,Delivery Delay,Prime item won't arrive within the promised 2-day window; defaults to Delivery Delay per taxonomy.,Delivery Delay,,KEEP
123399,"I tried getting you to call me on 2 different phones. Neither rang. It appears I am not the only one unhappy with courier. Quick search for #amazon & that's the first 2 tweets. If this is how my free trial of Prime is, you can bet I'm not going to pay for it.",4,Delivery Delay,Courier failed to call as arranged and customer is unhappy with delivery service during their Prime trial.,Delivery Delay,,KEEP
391662,"This is the 3rd Amazon Prime order in a row that has missed the ""guaranteed delivery by"" date. All were shipped with AMZL US.",4,Delivery Delay,Third Prime order in a row missing the guaranteed delivery date; defaults to Delivery Delay.,Delivery Delay,,KEEP
432985,"#apptreasurehunt people winning countinously are only prime member, i just upgraded to prime membership and see my first win (1/3)",4,Prime Membership / Benefits,Discussing a promotional benefit/perk tied specifically to Prime membership status.,Prime Membership / Benefits,,KEEP
51580,What’s the point of prime if I get 10+ day shipping?,4,Delivery Delay,Prime shipping taking 10+ days instead of the expected fast delivery; defaults to Delivery Delay.,Delivery Delay,,KEEP
476044,"I tried cancelling the toys, which I was successful with one, but the other I can’t. Like I totally get the holidays are a much busier season but every single one of my packages lately have been delayed and taken a week when I pay for prime shipping.",4,Order Cancellation,Trying to cancel toy orders; succeeded with one but unable to cancel the other.,Order Cancellation,,KEEP
274074,"Wondering about the ""free Prime"" included with the Echo I just purchased. Does it extend my existing Prime membership for a year?",4,Prime Membership / Benefits,Asking whether a bundled free Prime trial extends their existing Prime membership.,Prime Membership / Benefits,,KEEP
215962,Yes even the packing also worst. I didn't experience wth my previous orders.What is the use of prime subscription.Cheating with extra bucks?,4,Prime Membership / Benefits,Questioning the value/worth of paying for a Prime subscription given poor experience.,Prime Membership / Benefits,,KEEP
231306,"I cancelled Amazon Prime. But no refunds, I could not find a way to request for refund.",4,Prime Membership / Benefits,Cancelled Prime membership but can't find a way to get the associated refund.,Return / Refund,Core ask is about missing refund,CHANGED
765751,any reason why prime delivery of products showing as Monday? I ordered something on Friday thinking it would arrive today. Everything seems the same...,4,Delivery Delay,Prime delivery showing a later date than expected; defaults to Delivery Delay.,Delivery Delay,,KEEP
234149,"9840545602 Manivannan, It automatically subscribed for amazon prime to my account & money debited, i wanna cancel that.pl help",4,Prime Membership / Benefits,Was auto-subscribed to Prime without consent and wants to cancel the membership.,Prime Membership / Benefits,,KEEP
95435,"Ordered products using Prime that was sold and shipped by Amazon. #1 the shipping was delayed , #2 Package is missing , Customer care rep wants me to contact AMZ-L .Amazon Logistics does not have phone support available. So much for prime member benefits !",4,Delivery Delay,Primary complaint is delayed/missing shipment for a Prime order; defaults to Delivery Delay over the benefits mention.,Delivery Delay,,KEEP
27883,But I haven’t even consented to prime before I want my money back,4,Prime Membership / Benefits,Never consented to a Prime membership and wants a refund for it.,Return / Refund,"Explicit ""I want my money back"" -> Return/Refund",CHANGED
93537,Latest example. Yes this is a Prime item.,4,Non-actionable / Exclude,Fragment referencing 'this is a Prime item' with no context on an actual problem.,Non-actionable / Exclude,,KEEP
744210,It's great when tells you that your Prime membership isn't qualified to use for prime. Even though you pay them monthly. WTF,4,Prime Membership / Benefits,Being told their paid Prime membership doesn't qualify for a Prime-exclusive feature.,Prime Membership / Benefits,,KEEP
494985,"I’ve contacted them and I’m not getting this until tomorrow now, this is completely unacceptable also what is the point of me having prime, if I don’t get the product I preordered on the day of release?",4,Delivery Delay,Preordered Prime item won't arrive on release day as promised; defaults to Delivery Delay.,Delivery Delay,,KEEP
1006052,False advertising Advertise “guaranteed” next day delivery stay in all day. They mark as delivered and no item. Told 2 wait 48hr..,5,Delivered but Not Received,"Marked as delivered despite guaranteed next-day promise, but item was never actually received.",Delivered but Not Received,,KEEP
611174,That's exactly what I've been doing. They can't or won't help. I'm now contacting you in public because nothing has changed. Just more blatant lies. You offer next day delivery - and you don't even attempt it. How is that not fraud?,5,Delivery Delay,Guaranteed next-day delivery was never attempted despite repeated follow-up.,Delivery Delay,,KEEP
394927,"no delivery yesterday, whatever happened to all that tiny helipads in your back garden malarkey?",5,Delivery Delay,No delivery happened yesterday as expected.,Delivery Delay,,KEEP
132550,"So my package came and I wasn’t in, told the delivery man to leave it in the safe place, as I can talk to him through the intercom on my phone and he just totally dismissed it and went away without delivery! 😡 i think im through with amazon!",5,Delivery Delay,Delivery driver left without delivering despite instructions to leave it in a safe place.,Delivery Delay,,KEEP
1087631,Pranam. Which language you guys understand.bcoz of your False commitment i give alternate Address. Dont want delivery sud atmp there,5,Delivery Delay,"Delivery to an alternate address was promised but not honored, per garbled complaint.",Delivery Delay,,KEEP
581878,Additionally they haven't actually said which day they WILL be delivering it.,5,Delivery Delay,No delivery date has been given for a pending order.,Delivery Delay,,KEEP
652175,"You know what I hate? Amazon's delivery service, (NOT PRIME NOW, the standard delivery). Very rarely do they not screw up. Just ship it via UPS or FedEx you jerks. Side note: I wont have my extra mix packs for Dropmix games at Friendsgiving. :(",5,Delivery Delay,General complaint about Amazon's standard delivery service frequently messing up.,Delivery Delay,,KEEP
1116047,another shipping delay item was in stock and I choose 1 day shipping told by care nothing we can do. 3rd issue in 6 months.,5,Delivery Delay,Chose 1-day shipping for an in-stock item but experienced another shipping delay.,Delivery Delay,,KEEP
169519,Hi. I ordered yesterday at 12.44 and delivery was confirmed for today. Got an update at 8pm tonight that it’s not coming and to contact Amazon if not revived by Wednesday!,5,Delivery Delay,Delivery confirmed for the day was pushed back with a late-night update saying it's not coming.,Delivery Delay,,KEEP
378182,"my delivery date says pending, but before it said the 11th. Does this mean that you're unsure when I'll get my package?",5,Delivery Delay,"Delivery date changed from a specific date to 'pending,' leaving the customer unsure when it'll arrive.",Delivery Delay,,KEEP
139980,why do your couriers insist on lying they have made a delivery time and time and time again.,5,Delivery Delay,Couriers repeatedly give delivery time commitments they don't honor.,Delivery Delay,,KEEP
323366,Done already. Prime has failed to deliver on 1 day GUARANTEED delivery. Never was this disappointed.,5,Delivery Delay,Prime's guaranteed 1-day delivery was not met; defaults to Delivery Delay.,Delivery Delay,,KEEP
877001,I love the fact that has the option to put delivery instructions but then the delivery guy doesnt follow them...,5,Delivery Delay,"Delivery instructions are provided but not followed by the delivery driver, causing delivery problems.",Delivery Delay,,KEEP
1081743,still Issue with you amazon delivery became to late more than two days am ordering product for me not for your hub,5,Delivery Delay,Delivery has become more than two days late.,Delivery Delay,,KEEP
789695,Day 4 no delivery no reply no response You all have from bad to horrible new levels of achieving customer satisfaction,5,Delivery Delay,"Four days with no delivery, no reply, and no response from support.",Delivery Delay,,KEEP
1033084,"Delivery for Thurs, no delivery attempt. Fri again, no delivery attempt. Cust services promised today. NO DELIVERY AGAIN. 😡",5,Delivery Delay,Multiple scheduled delivery attempts in a row did not happen.,Delivery Delay,,KEEP
1020928,Yes reordered no delivery date and customer services advised they'd speak to the relevant department however 9 days later still no shipment.,5,Delivery Delay,Reordered item has no delivery date and remains unshipped nine days later.,Delivery Delay,,KEEP
782338,"order # 206-4012294-5761923, 206-8227967-3333936 I have not had an email with a revised delivery date. Please tell me where my stuff is and when I will receive it!",5,Delivery Delay,No revised delivery date was communicated after original delivery was missed; asking where their order is.,Delivery Delay,,KEEP
838272,i'am having prob with ur Service regarding today's delivery of my 👟... Do u have any idea how to solve this problem...,5,Delivery Delay,Having a problem with today's scheduled delivery.,Delivery Delay,,KEEP
162130,"The orders each said I had selected Prime One Day Delivery, but the arrival dates were up to 5 days later",5,Delivery Delay,Prime One Day Delivery orders arrived up to 5 days late; defaults to Delivery Delay.,Delivery Delay,,KEEP
698731,"Tonight it says Saturday, but my order still won't arrive till Tuesday!",6,Delivery Delay,Delivery estimate keeps slipping from Saturday to Tuesday.,Delivery Delay,,KEEP
980110,Order #408-1244342-2854732 U may checkout the scenario.,6,Non-actionable / Exclude,"Just provides an order number with 'checkout the scenario,' no specific issue described.",Non-actionable / Exclude,,KEEP
752917,"Will you become poor if you returned my INR 1,985 for an undelivered order. # Not asking u to compensate for hassles.",6,Return / Refund,Asking for a refund for an order that was never delivered.,Return / Refund,,KEEP
549411,my Christmas star came broken and you still haven't shipped out our replacement order 3 days later. #horriblecustomerservice,6,Wrong / Damaged / Defective Item,Item arrived broken and the replacement hasn't shipped days later.,Wrong / Damaged / Defective Item,,KEEP
1120383,I was told today. But I show nothing on tracking except for the diff order. I have never had issues like this,6,Order Tracking / Status,"Tracking shows information for a different order instead of theirs, causing confusion about status.",Order Tracking / Status,,KEEP
526542,Billing address is same as Shipping address. Could you please check I'm not able to change. Order 402-6608900-3256313,6,Payment / Billing,Billing address issue on the order that they're unable to change.,Payment / Billing,,KEEP
322885,I paced an order that I wanted for so long and here the details are and look what I have got,6,Wrong / Damaged / Defective Item,Implies the product received doesn't match what was ordered ('look what I have got').,Wrong / Damaged / Defective Item,,KEEP
318424,order no 405-9749390-2072353... No one even attempted to deliver it and now I got the message that it's being returned back..,6,Delivery Delay,No delivery attempt was made and the order is now being returned to sender.,Delivery Delay,,KEEP
137099,"Being no 1 worldwide, and still aren't able to solve the issue of a customer. How sad! Been almost 20 days and waiting for my order to get delivered, had word with your call team and wrote an email as well. Will be counting how many more things need to be done to get my order.",6,Delivery Delay,Order has been awaiting delivery for almost 20 days despite calls and emails.,Delivery Delay,,KEEP
1150922,your performance over the Diwali sale had been great to worse! I waited for a week for my order and had to cancel it finally..,6,Order Cancellation,Had to cancel the order after waiting a week for it during a sale period.,Order Cancellation,,KEEP
180565,"It would be great if customer come to about which courrier compny going ship before placing order, there is history of each courier services",6,Non-actionable / Exclude,"General suggestion/feedback about showing courier info before ordering, not a specific support issue.",Non-actionable / Exclude,,KEEP
288133,"please check with the order number, 407-4882866-7738709. and see the status",6,Order Tracking / Status,Asking Amazon to check the status of a specific order number.,Order Tracking / Status,,KEEP
446086,6 days later and Amazon still hasn't bothered to ship my order... 😑,6,Delivery Delay,Order still hasn't shipped six days after being placed.,Delivery Delay,,KEEP
64208,"This is ridiculous, I’ve literally just shown what the tracking is showing and your asking again, can you not look through the thread of tweets? Something needs to be done ASAP otherwise I’ll just cancel my order",6,Order Tracking / Status,"Frustrated that support keeps re-asking about tracking info already shown, threatening to cancel if unresolved.",Order Tracking / Status,,KEEP
258873,"That feeling when you're waiting for your Amazon order and it just keeps saying ""out for delivery."" 😱😱😱",6,Delivery Delay,Order tracking has been stuck on 'out for delivery' without progressing.,Delivery Delay,,KEEP
712041,been on hold for 15 minutes while trying to file an A-to-Z claim. Talked to someone and gave order number nut have been listening to music for 10 min and silence for 5...,6,Customer Support / Complaint,Long hold time and being ignored while trying to file a claim through support.,Customer Support / Complaint,,KEEP
313895,I have already send a photo of order invoice,6,Non-actionable / Exclude,"Notes an invoice photo was already sent, with no other context on the actual issue.",Non-actionable / Exclude,,KEEP
530746,So thanks to and I'm spending another weekend on the phone (mostly on hold) trying to find out what's going on with my order and why it hasn't been delivered. It's been A MONTH since I placed the order #CustomerServiceSucks,6,Delivery Delay,"Order hasn't been delivered a full month after being placed, despite repeated calls.",Delivery Delay,,KEEP
475127,I pkaced and order costing auoward of £940 you cancelled the order and out account on hokd due to possabke fraud which it wasnt and niw am getting dispatch emails sent saying ny stuff us being sent when cant get into my account still and was told on ohone 3 times it was cancelled,6,Account / Login / Security,Account was placed on hold over suspected fraud and remains inaccessible despite being told otherwise.,Account / Login / Security,,KEEP
1128690,"Call me on my mobile, you can track my number from order I'd, amazon care not providing any complaint number.",6,Customer Support / Complaint,Amazon care isn't providing a complaint number so they can be reached about their issue.,Customer Support / Complaint,,KEEP
