customer_message,predicted_intent,generated_response,human_relevance,human_actionability,human_safety,human_grounding,human_overall,human_notes
Had the best customer service ever. The woman was from Jamaica and sang Bob Marley down the phone to me...,Customer Support / Complaint,This request should be reviewed by a human support agent.,,,,,,
still Issue with you amazon delivery became to late more than two days am ordering product for me not for your hub,Delivery Delay,This request should be reviewed by a human support agent.,,,,,,
Can't add money to Amazon Pay. On 21 Sept your executive said it will be solved in 48 hours. Is the period over yet?,Payment / Billing,"Please review the payment and billing details for your order or membership. If you do not recognize the charge or need further clarification, please contact Amazon support.",,,,,,
I've still not received any sort of response whether helpful or not. I really expected more from Amazon,Non-actionable / Exclude,This request should be reviewed by a human support agent.,,,,,,
"One of your teams told me to change my address to get delivered to, and lied in email telling me it would be here today. It's not.",Account / Login / Security,This request should be reviewed by a human support agent.,,,,,,
They work then they crash or the audio doesn’t match up with what’s happening,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,,,,,,
Billing address is same as Shipping address. Could you please check I'm not able to change. Order 402-6608900-3256313,Payment / Billing,This request should be reviewed by a human support agent.,,,,,,
order no 405-9749390-2072353... No one even attempted to deliver it and now I got the message that it's being returned back..,Delivered but Not Received,This request should be reviewed by a human support agent.,,,,,,
The order was paid and the delivered option is showing signed by me this is offence of the privacy by your side,Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",,,,,,
"Yes, due to a charge back for undelivered goods. Kind of important to unlock my account, since everything here is literally, Amazon.",Payment / Billing,This request should be reviewed by a human support agent.,,,,,,
. . I want return this product help me asap 9555280010,Return / Refund,This request should be reviewed by a human support agent.,,,,,,
I have already sent a mail yesterday at 9pm & called customer care but no response as of now. Marked mail to Jeff also.#fraud,Delivered but Not Received,This request should be reviewed by a human support agent.,,,,,,
I just want to know if the package is out for delivery this morning. I need it by 3pm and it doesn't say what carrier it is,Order Tracking / Status,You can check the latest order status and tracking information from your Amazon orders page. This will show the current shipment status and estimated delivery date.,,,,,,
"my order is still not fucking delivered , I want a fucking proper service",Delivered but Not Received,This request should be reviewed by a human support agent.,,,,,,
When your amazon prime package was to be delivered yesterday and tracking says they don't know when now??? Really???,Prime Membership / Benefits,This request should be reviewed by a human support agent.,,,,,,
missing component and your saying simply sorry wah Jeff this is how you run amazon USA ??,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,,,,,,
my package for Amazon pantry is delayed and UPS has no info. Having it delivered to a hotel where I'm checking out tomorrow. If it doesn't come today I don't want it. I was promised prime delivery,Delivery Delay,This request should be reviewed by a human support agent.,,,,,,
But I haven’t even consented to prime before I want my money back,Return / Refund,This request should be reviewed by a human support agent.,,,,,,
Error on Amazon Jobs site after completing survey. Android 5.1 and Chrome 61,Non-actionable / Exclude,This request should be reviewed by a human support agent.,,,,,,
After so many conversation again you are failed to help me. stop this type of activities and don't make fool again n again..Big Big Shame on Amazon.in,Non-actionable / Exclude,This request should be reviewed by a human support agent.,,,,,,
"Still i have not received this product, this is really really pathetic",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,,,,,,
I order an item to be delivered on Friday delivery then says rescheduled at customer request which I didn’t then called amazon who said,Delivery Delay,This request should be reviewed by a human support agent.,,,,,,
Hey thanks for the link. Couple of agents were not able to fix the issue. They have asked for further 24-48hrs,Non-actionable / Exclude,This request should be reviewed by a human support agent.,,,,,,
"Silly its a used product, that I have received.. Thats why the OLX part..duhh!! replace it asap",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,,,,,,
u are #1 but not in this instance. I needed this hat now. Plz DM me to fix #CustomerService #business #travel,Non-actionable / Exclude,This request should be reviewed by a human support agent.,,,,,,
When is S3 of Fear:TWD coming? Don't have BT tv or willingness to go to dodgy websites to watch :) Thanks,Non-actionable / Exclude,This request should be reviewed by a human support agent.,,,,,,
please wait for a lawyer notice for your shitty customer service. 404-9431882-1668333 #worstCustomerService #Amazon,Customer Support / Complaint,This request should be reviewed by a human support agent.,,,,,,
Still no resolution. Amazon is really Pathetic,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,,,,,,
I love the fact that has the option to put delivery instructions but then the delivery guy doesnt follow them...,Delivered but Not Received,This request should be reviewed by a human support agent.,,,,,,
Purchased a new mobile from Amazon and it's faulty.,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,,,,,,
"The orders are continuously being marked as delivered without actual delivery. Several complaints, no result #Pathetic #Unreliable",Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",,,,,,
It doesn’t give me any company name or phone number.,Order Tracking / Status,This request should be reviewed by a human support agent.,,,,,,
thanks my query has been resolved.. 😀 Look forward to shop more,Non-actionable / Exclude,This request should be reviewed by a human support agent.,,,,,,
Yes what it was one item in my cart was holding it up. Apparently there was an issue with the item and or seller and the place order wouldn’t go through the page just kept reloading. One of Amazons customer service from home folks helped me troubleshoot and track down the issue.,Product / App / Website Issue,This request should be reviewed by a human support agent.,,,,,,
"what is going on? I've emailed the community help for 3 solid weeks about an issue with no answer! Not even a ""we got the email"". Nothing! #whatcustomerservice #frustrated",Customer Support / Complaint,This request should be reviewed by a human support agent.,,,,,,
"Call me on my mobile, you can track my number from order I'd, amazon care not providing any complaint number.",Order Tracking / Status,This request should be reviewed by a human support agent.,,,,,,
Thanks for letting me know.😍😍😘 Amazon,Non-actionable / Exclude,This request should be reviewed by a human support agent.,,,,,,
