customer_message,predicted_intent,generated_response,human_relevance,human_actionability,human_safety,human_grounding,human_overall,human_notes
"Silly its a used product, that I have received.. Thats why the OLX part..duhh!! replace it asap",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human review is appropriate because the customer received a used product and explicitly requests a replacement, but no replacement instructions are provided."
u are #1 but not in this instance. I needed this hat now. Plz DM me to fix #CustomerService #business #travel,Non-actionable / Exclude,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is appropriate because the customer explicitly requests direct assistance, but the response does not provide a specific next step."
When is S3 of Fear:TWD coming? Don't have BT tv or willingness to go to dodgy websites to watch :) Thanks,Non-actionable / Exclude,This request should be reviewed by a human support agent.,2.0,1.0,5.0,3.0,2.0,The response is unnecessary because the customer is asking about entertainment availability rather than reporting a support issue.
please wait for a lawyer notice for your shitty customer service. 404-9431882-1668333 #worstCustomerService #Amazon,Customer Support / Complaint,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human escalation is appropriate because the customer is making a serious customer-service complaint and threatening legal action, but no specific next step is given."
Still no resolution. Amazon is really Pathetic,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,4.0,1.0,5.0,3.0,2.0,"Human escalation is appropriate because the customer is making a serious customer-service complaint and threatening legal action, but no specific next step is given."
I love the fact that has the option to put delivery instructions but then the delivery guy doesnt follow them...,Delivered but Not Received,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human review is relevant because the delivery instructions were not followed, but the response provides no specific resolution."
Purchased a new mobile from Amazon and it's faulty.,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is appropriate for a faulty product complaint, but the response does not provide replacement or return options."
"The orders are continuously being marked as delivered without actual delivery. Several complaints, no result #Pathetic #Unreliable",Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",5.0,4.0,5.0,5.0,5.0,The response correctly addresses a delivered-but-not-received situation and recommends checking the delivery location and contacting support for investigation.
It doesn’t give me any company name or phone number.,Order Tracking / Status,This request should be reviewed by a human support agent.,3.0,1.0,5.0,3.0,2.0,The response correctly addresses a delivered-but-not-received situation and recommends checking the delivery location and contacting support for investigation.
thanks my query has been resolved.. 😀 Look forward to shop more,Non-actionable / Exclude,This request should be reviewed by a human support agent.,2.0,1.0,5.0,3.0,2.0,"The customer confirms that the issue is already resolved, so human escalation is unnecessary and the response provides no useful action."
Yes what it was one item in my cart was holding it up. Apparently there was an issue with the item and or seller and the place order wouldn’t go through the page just kept reloading. One of Amazons customer service from home folks helped me troubleshoot and track down the issue.,Product / App / Website Issue,This request should be reviewed by a human support agent.,4.0,2.0,5.0,4.0,3.0,"The customer explains that the issue was already identified and resolved with customer-service help, so escalation is unnecessary."
"what is going on? I've emailed the community help for 3 solid weeks about an issue with no answer! Not even a ""we got the email"". Nothing! #whatcustomerservice #frustrated",Customer Support / Complaint,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human escalation is appropriate because the customer has received no response for three weeks, but the response provides no specific next steps."
"Call me on my mobile, you can track my number from order I'd, amazon care not providing any complaint number.",Order Tracking / Status,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is appropriate because the customer explicitly requests contact and reports difficulty obtaining a complaint number, but no next step is provided."
Thanks for letting me know.😍😍😘 Amazon,Non-actionable / Exclude,This request should be reviewed by a human support agent.,2.0,1.0,5.0,3.0,2.0,"The customer is simply thanking Amazon, so escalation is unnecessary and the response provides no useful action."
