customer_message,predicted_intent,generated_response,response_present,actionable,safe,intent_relevant,quality_score,quality
"hi, need help regarding exchange offers. Kindly contact ASAP.",Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Wow I am unable to find option for my problem..can't you guys help? Or any contact number..I m in US and m recieving waves of messages,Account / Login / Security,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Need support on the stat! Help me get rid of my phone kappa.,Product / App / Website Issue,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"408-6016305-4794733 This is the order number. You track the history. If you can help, help me else I will take the loss and goodbye Amazon",Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
After so many conversation again you are failed to help me. stop this type of activities and don't make fool again n again..Big Big Shame on Amazon.in,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
the packaging of Philips qt4011 trimmer is different.is this the original product or duplicate?.pls help.,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
ordered a book on the website. Not yet delivered and seller not responding. Please help,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Support reps could not understand my problem and gave me unrelated advice. :/ Please help!,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
help! Need to cancel a music order but don't see how,Order Cancellation,"Please check your Amazon orders page to see whether the order can still be cancelled. If the cancellation option is unavailable, please contact Amazon support.",True,True,True,True,4,GOOD
. . I want return this product help me asap 9555280010,Return / Refund,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"hi, I'm having trouble logging into my account. Could you help please?",Account / Login / Security,"For account or login issues, please use Amazon's official account support options. For your security, do not share passwords, verification codes, or other sensitive information in a public message.",True,True,False,True,3,PARTIAL
I already spoke to customer support team. No help. Same old template answers & reactive responses. Not addressing lost opportunity.,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
how can I call to file a claim? I bought from a seller I think is fake. OMG!!! I do not see file claim link on order. HELP ME!!!,Return / Refund,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
What happened to your logistics prowess? There have been MULTIPLE screw ups in 1 order and your help team is incompetent.,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Are you able to provide invoices to purchases that appear on a credit card statement? I only have the purchase date, amount and credit card number. Please help!!!",Payment / Billing,"Please review the payment and billing details for your order or membership. If you do not recognize the charge or need further clarification, please contact Amazon support.",True,True,True,True,4,GOOD
"contacted you yesterday about this, and today over live chat. No one can tell me if there is a shipping delay or what is going on with my Xenoblade 2 preorder. Ordered on 9/29. Any help?",Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Can u tell me how to replace, what should i do for replacement, any link for replacement complaint. Help plzz",Wrong / Damaged / Defective Item,"I'm sorry that you received an incorrect or damaged item. Please check the return or replacement options available for the order. If you need further help, please contact Amazon support.",True,True,True,True,4,GOOD
"what is going on? I've emailed the community help for 3 solid weeks about an issue with no answer! Not even a ""we got the email"". Nothing! #whatcustomerservice #frustrated",Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I shared a sceenshot of mail chain ..which tells that i dint get any reply since 10 days.. ppl r seeing herevhow pathetic amazon help is. !,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Why don’t you have all the color options? 🤔,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
4 days since form filled! no updates since then. Shows how much you guys are concerned! Y waste our time by filling dse forms then?,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Chat function was not available. I sent an email using the mailing facility on the link in your previous message.,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
still waiting for a refund...,Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",True,True,True,True,4,GOOD
No reason given. Carrier is USPS. I got my normal mail today.,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
I’ve found a parcel at my door that’s not mine.Googled address and it’s not recognised. How do I return it ?,Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Like this safe place? 😡,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
how could u do this to me,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"I'm honestly not sure. I wasn't necessarily expecting it the same day, but I did think it would arrive the same week, or at the very least the same month!",Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",True,True,True,True,4,GOOD
Please check the root of this chain you'll find it easily,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I have instigated a chat as the only option it gave was to call a US number!,Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
I have added my email address with the account kindly get back with the resolution,Account / Login / Security,"For account or login issues, please use Amazon's official account support options. For your security, do not share passwords, verification codes, or other sensitive information in a public message.",True,True,False,True,3,PARTIAL
"And to top it off, one of the items, my 14year old son saved up his allowance and I had to tell him 3 times that it won't arrive in time. That is just crap.",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"yup. That's what we tried. On the receiving end they see this, when they are logged in",Account / Login / Security,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Instead of typing above MSG you should have contacted me if you r really concerned isn't it,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
u are #1 but not in this instance. I needed this hat now. Plz DM me to fix #CustomerService #business #travel,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Oh boy, my serger arrived at my mom's house like this... Wtf ? With all the theft of packages that happens you ship a $200 serger without a box?",Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Yes! 3 times I’ve uninstalled. And yes im receiving an error message,Product / App / Website Issue,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
My package was due yesterday and now it’s two days late 🙄🙄,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"hey !! Episode 3-6 is showing not available , come on man. ! #LaakhonMeinEk",Product / App / Website Issue,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Thanks for letting me know.😍😍😘 Amazon,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"It's working, thanks!",Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Okay, thanks for your help 👍🏻",Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Thanks! I know they're not from Amazon 🤖,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Not camaflouged but complimentary hence unexpected and almost went unnoticed. Thanks again. :),Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
what happened to Lucifer? Seems stuck on episode 8 of current season? Thanks,Product / App / Website Issue,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
thanks my query has been resolved.. 😀 Look forward to shop more,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Thanks submitted the feedback, please make sure I get a properly sealed replacement.",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Thanks for nothing you advertise beta codes so I preorder then u don’t deliver so u cancel. Guess I’ll skip,Order Cancellation,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Hey thanks for the link. Couple of agents were not able to fix the issue. They have asked for further 24-48hrs,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
can you look into this please? Ordered in May and still not here! Thanks.,Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Hello, do you deliver to Lubumbashi - Drc. Thanks",Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
All done. Thanks.,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Thanks. I got that far but none of the ""What can we help you with?"" options seemed applicable.",Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I'm a Prime customer & ordered immediately a book promoted by you as having dropped to $1.99 only to be charged its full price. Confused. Thanks for help!,Payment / Billing,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Greetings sir, Had written to you regarding my worst exp of my order got a reply from ur side, thanks, I really appreciate (1/2)",Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Thanks for the speedy help! All fixed and replacement ordered! Phew! 💕,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
That worked. Thanks!,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Thanks. When I follow the link to the item from my order, it says I could have it by the weekend if I ordered today.",Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
When is S3 of Fear:TWD coming? Don't have BT tv or willingness to go to dodgy websites to watch :) Thanks,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"When you pay for prime with 2 day shipping, and it's been 4 days and you still have no package and no date on when you'll even get it. No worries, not like it's the Christmas season or anything!!",Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
I've worked out what's happening. I have my amazon account tied to another under Prime Household. I can't download but the other can - why?,Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Me being a prime member, why is there a delay #AmazonIndia #lenovoz2plus #problems #hardware",Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
my moms amazon prime account charged my bank account. i am not happy about this.,Payment / Billing,"Please review the payment and billing details for your order or membership. If you do not recognize the charge or need further clarification, please contact Amazon support.",True,True,True,True,4,GOOD
Correction... I won’t get it until Monday.. why advertise as a prime item if I can’t get it in 2 days??,Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"I tried getting you to call me on 2 different phones. Neither rang. It appears I am not the only one unhappy with courier. Quick search for #amazon & that's the first 2 tweets. If this is how my free trial of Prime is, you can bet I'm not going to pay for it.",Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"This is the 3rd Amazon Prime order in a row that has missed the ""guaranteed delivery by"" date. All were shipped with AMZL US.",Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"#apptreasurehunt people winning countinously are only prime member, i just upgraded to prime membership and see my first win (1/3)",Prime Membership / Benefits,"Please check your Amazon Prime membership details and available benefits from your account. If you need help with your membership, please contact Amazon support.",True,True,True,True,4,GOOD
What’s the point of prime if I get 10+ day shipping?,Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"I tried cancelling the toys, which I was successful with one, but the other I can’t. Like I totally get the holidays are a much busier season but every single one of my packages lately have been delayed and taken a week when I pay for prime shipping.",Order Cancellation,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Wondering about the ""free Prime"" included with the Echo I just purchased. Does it extend my existing Prime membership for a year?",Prime Membership / Benefits,"Please check your Amazon Prime membership details and available benefits from your account. If you need help with your membership, please contact Amazon support.",True,True,True,True,4,GOOD
Yes even the packing also worst. I didn't experience wth my previous orders.What is the use of prime subscription.Cheating with extra bucks?,Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"I cancelled Amazon Prime. But no refunds, I could not find a way to request for refund.",Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",True,True,True,True,4,GOOD
any reason why prime delivery of products showing as Monday? I ordered something on Friday thinking it would arrive today. Everything seems the same...,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"9840545602 Manivannan, It automatically subscribed for amazon prime to my account & money debited, i wanna cancel that.pl help",Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Ordered products using Prime that was sold and shipped by Amazon. #1 the shipping was delayed , #2 Package is missing , Customer care rep wants me to contact AMZ-L .Amazon Logistics does not have phone support available. So much for prime member benefits !",Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
But I haven’t even consented to prime before I want my money back,Return / Refund,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Latest example. Yes this is a Prime item.,Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
It's great when tells you that your Prime membership isn't qualified to use for prime. Even though you pay them monthly. WTF,Prime Membership / Benefits,"Please check your Amazon Prime membership details and available benefits from your account. If you need help with your membership, please contact Amazon support.",True,True,True,True,4,GOOD
"I’ve contacted them and I’m not getting this until tomorrow now, this is completely unacceptable also what is the point of me having prime, if I don’t get the product I preordered on the day of release?",Prime Membership / Benefits,"Please check your Amazon Prime membership details and available benefits from your account. If you need help with your membership, please contact Amazon support.",True,True,True,True,4,GOOD
False advertising Advertise “guaranteed” next day delivery stay in all day. They mark as delivered and no item. Told 2 wait 48hr..,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
That's exactly what I've been doing. They can't or won't help. I'm now contacting you in public because nothing has changed. Just more blatant lies. You offer next day delivery - and you don't even attempt it. How is that not fraud?,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"no delivery yesterday, whatever happened to all that tiny helipads in your back garden malarkey?",Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"So my package came and I wasn’t in, told the delivery man to leave it in the safe place, as I can talk to him through the intercom on my phone and he just totally dismissed it and went away without delivery! 😡 i think im through with amazon!",Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",True,True,True,True,4,GOOD
Pranam. Which language you guys understand.bcoz of your False commitment i give alternate Address. Dont want delivery sud atmp there,Payment / Billing,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Additionally they haven't actually said which day they WILL be delivering it.,Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",True,True,True,True,4,GOOD
"You know what I hate? Amazon's delivery service, (NOT PRIME NOW, the standard delivery). Very rarely do they not screw up. Just ship it via UPS or FedEx you jerks. Side note: I wont have my extra mix packs for Dropmix games at Friendsgiving. :(",Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
another shipping delay item was in stock and I choose 1 day shipping told by care nothing we can do. 3rd issue in 6 months.,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Hi. I ordered yesterday at 12.44 and delivery was confirmed for today. Got an update at 8pm tonight that it’s not coming and to contact Amazon if not revived by Wednesday!,Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"my delivery date says pending, but before it said the 11th. Does this mean that you're unsure when I'll get my package?",Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",True,True,True,True,4,GOOD
why do your couriers insist on lying they have made a delivery time and time and time again.,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Done already. Prime has failed to deliver on 1 day GUARANTEED delivery. Never was this disappointed.,Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",True,True,True,True,4,GOOD
I love the fact that has the option to put delivery instructions but then the delivery guy doesnt follow them...,Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
still Issue with you amazon delivery became to late more than two days am ordering product for me not for your hub,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Day 4 no delivery no reply no response You all have from bad to horrible new levels of achieving customer satisfaction,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Delivery for Thurs, no delivery attempt. Fri again, no delivery attempt. Cust services promised today. NO DELIVERY AGAIN. 😡",Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Yes reordered no delivery date and customer services advised they'd speak to the relevant department however 9 days later still no shipment.,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"order # 206-4012294-5761923, 206-8227967-3333936 I have not had an email with a revised delivery date. Please tell me where my stuff is and when I will receive it!",Order Tracking / Status,You can check the latest order status and tracking information from your Amazon orders page. This will show the current shipment status and estimated delivery date.,True,True,True,True,4,GOOD
i'am having prob with ur Service regarding today's delivery of my 👟... Do u have any idea how to solve this problem...,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"The orders each said I had selected Prime One Day Delivery, but the arrival dates were up to 5 days later",Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",True,True,True,True,4,GOOD
"Tonight it says Saturday, but my order still won't arrive till Tuesday!",Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Order #408-1244342-2854732 U may checkout the scenario.,Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Will you become poor if you returned my INR 1,985 for an undelivered order. # Not asking u to compensate for hassles.",Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
my Christmas star came broken and you still haven't shipped out our replacement order 3 days later. #horriblecustomerservice,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
I was told today. But I show nothing on tracking except for the diff order. I have never had issues like this,Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Billing address is same as Shipping address. Could you please check I'm not able to change. Order 402-6608900-3256313,Payment / Billing,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I paced an order that I wanted for so long and here the details are and look what I have got,Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
order no 405-9749390-2072353... No one even attempted to deliver it and now I got the message that it's being returned back..,Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Being no 1 worldwide, and still aren't able to solve the issue of a customer. How sad! Been almost 20 days and waiting for my order to get delivered, had word with your call team and wrote an email as well. Will be counting how many more things need to be done to get my order.",Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
your performance over the Diwali sale had been great to worse! I waited for a week for my order and had to cancel it finally..,Order Cancellation,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"It would be great if customer come to about which courrier compny going ship before placing order, there is history of each courier services",Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"please check with the order number, 407-4882866-7738709. and see the status",Order Tracking / Status,You can check the latest order status and tracking information from your Amazon orders page. This will show the current shipment status and estimated delivery date.,True,True,True,True,4,GOOD
6 days later and Amazon still hasn't bothered to ship my order... 😑,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"This is ridiculous, I’ve literally just shown what the tracking is showing and your asking again, can you not look through the thread of tweets? Something needs to be done ASAP otherwise I’ll just cancel my order",Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"That feeling when you're waiting for your Amazon order and it just keeps saying ""out for delivery."" 😱😱😱",Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
been on hold for 15 minutes while trying to file an A-to-Z claim. Talked to someone and gave order number nut have been listening to music for 10 min and silence for 5...,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I have already send a photo of order invoice,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
So thanks to and I'm spending another weekend on the phone (mostly on hold) trying to find out what's going on with my order and why it hasn't been delivered. It's been A MONTH since I placed the order #CustomerServiceSucks,Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I pkaced and order costing auoward of £940 you cancelled the order and out account on hokd due to possabke fraud which it wasnt and niw am getting dispatch emails sent saying ny stuff us being sent when cant get into my account still and was told on ohone 3 times it was cancelled,Order Cancellation,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Call me on my mobile, you can track my number from order I'd, amazon care not providing any complaint number.",Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Hey . Just because I am trying to buy a gift card from you and a big item on one of your Prime credit cards at the same time doesn’t mean my account has been hacked and you need to BLOCK IT FOR FIVE HOURS ON BLACK FRIDAY!!! #RageAgainstTheAlgorithm,Account / Login / Security,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
why do I pay for prime if it doesn't come the next day as described.... Waited in all day for this parcel!,Payment / Billing,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
It also doesn’t work anyone with accounts on multiple platforms. Says “you’re stuck in the past..” no workaround yet,Account / Login / Security,"For account or login issues, please use Amazon's official account support options. For your security, do not share passwords, verification codes, or other sensitive information in a public message.",True,True,False,True,3,PARTIAL
No it was just everything that I looked at that is #prime doesn't show as being available to deliver the next day. I sort of suspected that you have dropped this for certain items.,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Thanks. Kudos to UPS for being in constant contact and following up with me. Amazon makes it really hard to get through to a human... their semi-automated support system doesn't seem to be able to tell this shipping state!,Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
i had already have chat with your representative ... It doesn't work,Account / Login / Security,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
The app says I have to purchase books on the app. The app doesn’t accept my Audible credits. I just want to get a new book for bed 😫,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I have been trying to sort a problem with your various call centres and chat associates since Sunday and no-one is helping me. You're about to lose a very valuable Prime customer is someone doesn't call me soon to resolve. Missing order!!!,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Doesn’t have an option for someone sent package using my data.,Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"i paid $40 for a nintendo ds lite that doesn’t work, although it was said to be in “good” condition. how can i get my money back?",Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",True,True,True,True,4,GOOD
I just want to know if the package is out for delivery this morning. I need it by 3pm and it doesn't say what carrier it is,Order Tracking / Status,You can check the latest order status and tracking information from your Amazon orders page. This will show the current shipment status and estimated delivery date.,True,True,True,True,4,GOOD
